generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1766176333-571cT9ZUjKzbZWEL3yGz,2025-12-19 20:32:13.640,0,,,0,0,1144,512,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,5300,304,,clara tour
gen-1766176331-nAqj1eXiG53FrhJn6gAK,2025-12-19 20:32:11.012,0,,,0,0,286,85,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1126,517,,clara tour
gen-1766176325-WXKB4SYH6MgvvVx9huZA,2025-12-19 20:32:05.011,0.000143,,,0,0,461,325,0,google/gemma-3-27b-it,Nebius,standard,false,true,,stop,stop,5328,293,,clara tour
gen-1766176322-lK80oWtcgI0wjlNaKLWu,2025-12-19 20:32:02.305,0,,,0,0,337,129,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,2033,346,,clara tour
gen-1766176318-WKNgEE1SsjJR8tpXO0kY,2025-12-19 20:31:57.739,0,,,0,0,435,234,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,3570,438,,clara tour
gen-1766176251-wxfh8tCTxKVJZscrb9VA,2025-12-19 20:30:51.628,0,,,0,0,2238,459,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,4672,305,,clara tour
gen-1766176249-zqFpnGnWb063XSmUqC1r,2025-12-19 20:30:49.464,0,,,0,0,289,84,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1075,510,,clara tour
gen-1766176238-4tfi3RbGIxnIdrFMJgej,2025-12-19 20:30:38.743,0.000102,,,0,0,458,384,0,google/gemma-3-27b-it,DeepInfra,standard,false,true,,stop,stop,9795,649,,clara tour
gen-1766176236-vaPK2KsgzDamqz56Eizw,2025-12-19 20:30:35.876,0,,,0,0,331,124,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1899,252,,clara tour
gen-1766176231-WZAR7ta2tpyTKPQZjjWY,2025-12-19 20:30:31.015,0,,,0,0,435,230,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,4022,268,,clara tour
gen-1766174972-l1ucGrkPNMvyXnmyGYTf,2025-12-19 20:09:32.558,0,,,0,0,1090,368,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,4265,293,,clara tour
gen-1766174965-bFkyoQ0PgXTgASfNUgrZ,2025-12-19 20:09:25.177,0.000177,,,0,0,462,437,0,google/gemma-3-27b-it,Nebius,standard,false,true,,stop,stop,6605,306,,clara tour
gen-1766174962-OpqwzhURJ3xo2iRTph98,2025-12-19 20:09:21.944,0,,,0,0,328,120,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,2080,453,,clara tour
gen-1766174959-AYMfe80bVIkTiKi8syDF,2025-12-19 20:09:18.760,0,,,0,0,435,137,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,2341,296,,clara tour
gen-1766174714-07difiitLwhqmBDGLLSv,2025-12-19 20:05:14.294,0,,,0,0,1132,524,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,5154,338,,clara tour
gen-1766174702-bPWp6TtTZ5B0pHjG99Pr,2025-12-19 20:05:02.040,0.000109,,,0,0,469,422,0,google/gemma-3-27b-it,NCompass,standard,false,true,,stop,stop,10003,1907,,clara tour
gen-1766174698-JKfZZt3MBBxCT82mbwdC,2025-12-19 20:04:58.361,0,,,0,0,362,154,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,2707,242,,clara tour
gen-1766174694-dmrLto9Dnm3cP7IUpivn,2025-12-19 20:04:54.717,0,,,0,0,435,169,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,2545,302,,clara tour
gen-1766174634-O3MOQY1On0TaxQVOyAvo,2025-12-19 20:03:53.840,0,,,0,0,1356,355,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,3357,463,,clara tour
gen-1766174631-tx5LcodL583H1h6SEle2,2025-12-19 20:03:51.107,0,,,0,0,285,146,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1772,512,,clara tour
gen-1766174629-7P50eVFIwWxENLydp4CY,2025-12-19 20:03:49.218,0,,,0,0,282,50,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,767,807,,clara tour
gen-1766174626-BTDEOsvkNVaqNSbdM55w,2025-12-19 20:03:46.004,0,,,0,0,343,136,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1793,224,,clara tour
gen-1766174620-o48GIxNT71q54jj5Bqai,2025-12-19 20:03:40.213,0,,,0,0,435,327,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,4955,367,,clara tour
gen-1766174385-aZF4znvZoz3WdftkwN9d,2025-12-19 19:59:45.508,0,,,0,0,672,193,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,2019,304,,clara tour
gen-1766174384-OWqXr6nG4Mgd8pc9Hfui,2025-12-19 19:59:43.809,0,,,0,0,276,60,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,879,322,,clara tour
gen-1766174380-Nn8UeUpQXaaJjJ58MSf3,2025-12-19 19:59:40.283,0,,,0,0,303,96,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1522,300,,clara tour
gen-1766174376-MsBiUYRrGJpgz4T3xlmW,2025-12-19 19:59:36.163,0,,,0,0,436,190,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,2931,277,,clara tour
gen-1766173833-wtlvg7uEe467bMeAG3FP,2025-12-19 19:50:33.538,0,,,0,0,1101,516,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,6330,486,,clara tour
gen-1766173831-9BolY5d3mhfuOWQKPXnb,2025-12-19 19:50:31.513,0,,,0,0,335,53,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,851,587,,clara tour
gen-1766173829-qk0h4yoJR65pQF1pBeVY,2025-12-19 19:50:29.560,0,,,0,0,309,73,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1216,212,,clara tour
gen-1766173827-xz1s6B0715JTGEJPFShv,2025-12-19 19:50:27.553,0,,,0,0,295,56,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1205,258,,clara tour
gen-1766173825-b61Oyl7TENRZFBbo5815,2025-12-19 19:50:25.763,0,,,0,0,292,28,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,519,858,,clara tour
gen-1766173824-IRPB3lVPr7zDZzqSgGBa,2025-12-19 19:50:24.006,0,,,0,0,311,87,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,897,488,,clara tour
gen-1766173822-hAotiHLZd2sz9ESlmXRr,2025-12-19 19:50:21.846,0,,,0,0,312,81,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1027,246,,clara tour
gen-1766173812-VpS1g8PQNrguLiJW9Ufq,2025-12-19 19:50:11.661,0,,,0,0,401,563,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,8848,474,,clara tour
gen-1766173703-BPLfFb7r8MO2BOUh3h2B,2025-12-19 19:48:23.875,0,,,0,0,524,192,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,2088,293,,clara tour
gen-1766173701-NJmQnoqVvpDsaQupWSjT,2025-12-19 19:48:21.266,0,,,0,0,343,92,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1297,656,,clara tour
gen-1766173698-GT3PHFf319JHYpNX0GQK,2025-12-19 19:48:18.669,0,,,0,0,419,117,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1738,296,,clara tour
gen-1766172729-VdKsT6omksg1fsAp15hm,2025-12-19 19:32:08.962,0,,,0,0,797,194,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,2592,466,,clara tour
gen-1766172727-1GR8YAqVSZhS7ghuBZQ0,2025-12-19 19:32:07.560,0,,,0,0,274,28,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,543,308,,clara tour
gen-1766172725-0kBM9eogQkcg3gkLqFHN,2025-12-19 19:32:05.441,0,,,0,0,276,69,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,926,560,,clara tour
gen-1766172724-lXCMnuZgnsB8IjVKS1yy,2025-12-19 19:32:04.198,0,,,0,0,263,42,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,526,364,,clara tour
gen-1766172721-4VKLdhahJQ6t2TrGK3QY,2025-12-19 19:32:01.478,0,,,0,0,275,132,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1878,234,,clara tour
gen-1766172715-CIkW8BYlEMc0tZnM7nIH,2025-12-19 19:31:55.414,0,,,0,0,391,323,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,4445,698,,clara tour
gen-1766172020-5fGa5yGL2Nmmy7Kl7E5Y,2025-12-19 19:20:20.148,0,,,0,0,808,259,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,2847,242,,clara tour
gen-1766172018-PdX6dsWpEHiEGGMgxlR5,2025-12-19 19:20:18.302,0,,,0,0,268,97,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1184,322,,clara tour
gen-1766172016-tkmNY8JMcG1qT7GhUpAN,2025-12-19 19:20:16.581,0,,,0,0,282,71,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,889,344,,clara tour
gen-1766172014-lw1k3EKLdOPbPGqGXjUA,2025-12-19 19:20:14.642,0,,,0,0,266,81,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1144,282,,clara tour
gen-1766172013-Pmbt8p2WNYh40SJYOtxv,2025-12-19 19:20:12.872,0,,,0,0,242,70,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,896,324,,clara tour
gen-1766172007-rou0DJY5lAeonI2rMv48,2025-12-19 19:20:07.211,0,,,0,0,401,299,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,4186,489,,clara tour
gen-1766171626-LrDSGkUEfGLjy49RcvYt,2025-12-19 19:13:46.516,0,,,0,0,540,118,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1897,406,,clara tour
gen-1766171625-tjLtu3AYdcZ0ZnIyHTN1,2025-12-19 19:13:45.548,0,,,0,0,231,28,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,474,233,,clara tour
gen-1766171624-9PU3min6tjde6Z1isXXV,2025-12-19 19:13:43.928,0,,,0,0,232,30,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,582,258,,clara tour
gen-1766171621-oggxHDcqhO0qdAIQSHfW,2025-12-19 19:13:41.403,0,,,0,0,391,83,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1655,457,,clara tour
gen-1766171569-qNfVQtPTmONfuGcQtfRj,2025-12-19 19:12:49.285,0,,,0,0,513,207,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,2015,203,,clara tour
gen-1766171567-RNOkHk2s4HiYg19MZYU3,2025-12-19 19:12:47.737,0,,,0,0,265,70,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,845,213,,clara tour
gen-1766171566-XWNVkeq4MgUKYnAEzhl7,2025-12-19 19:12:46.258,0,,,0,0,251,46,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,635,270,,clara tour
gen-1766171563-72dJzSnRRyuofLaUcO7v,2025-12-19 19:12:43.290,0,,,0,0,403,137,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1910,311,,clara tour
gen-1766171156-wUBlCkzfFrWQJoXs9uV6,2025-12-19 19:05:56.732,0,,,0,0,360,231,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,2825,535,,clara tour
gen-1766171155-X3tbBRFGcguui1nYa9tP,2025-12-19 19:05:55.535,0,,,0,0,233,39,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,381,212,,clara tour
gen-1766171154-tmlkouf54EHh1ZYOjZzZ,2025-12-19 19:05:53.887,0,,,0,0,387,44,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,793,246,,clara tour
gen-1766171029-l7g5QYPdG3IRf5FpQWOS,2025-12-19 19:03:49.194,0,,,0,0,753,211,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,2628,276,,clara tour
gen-1766171027-TSWCUbAalLpCZJLoCo3u,2025-12-19 19:03:47.798,0,,,0,0,267,73,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,817,255,,clara tour
gen-1766171026-toPPOKo0kyRvkVtHGRRy,2025-12-19 19:03:46.356,0,,,0,0,258,46,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,715,255,,clara tour
gen-1766171024-NwpGRtbsxmdMNQbL43DV,2025-12-19 19:03:44.835,0,,,0,0,271,50,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,924,221,,clara tour
gen-1766171023-Odm31l2ScuvAl2spz15S,2025-12-19 19:03:42.871,0,,,0,0,264,64,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,819,471,,clara tour
gen-1766171016-2QOUAsdbgol7yhhdSlmE,2025-12-19 19:03:36.653,0,,,0,0,395,299,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,5083,446,,clara tour
gen-1766170998-qU01jInz04Z6Ttg4RAp1,2025-12-19 19:03:18.645,0,,,0,0,364,132,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1403,293,,clara tour
gen-1766170997-yLGpTvxc8xjG7wpnq6yg,2025-12-19 19:03:17.580,0,,,0,0,240,28,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,500,293,,clara tour
gen-1766170995-e9k1yPlHNTomFI4SI2Fy,2025-12-19 19:03:15.571,0,,,0,0,387,52,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,845,306,,clara tour
gen-1766170842-WGOcJbaDqLGNNSkJcCnZ,2025-12-19 19:00:42.395,0,,,0,0,610,214,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,4269,388,,clara tour
gen-1766170839-B5N0sdcbWhyIJT9X0C8I,2025-12-19 19:00:38.915,0,,,0,0,284,74,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1649,829,,clara tour
gen-1766170836-aw2KeAomiTRTNdZlw8wq,2025-12-19 19:00:35.997,0,,,0,0,278,63,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1580,655,,clara tour
gen-1766170830-ApA0y67SniGrvvTxAAkY,2025-12-19 19:00:30.107,0,,,0,0,397,181,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,4851,660,,clara tour
gen-1766170807-7yzpPpIHXl6V0UZsYDMa,2025-12-19 19:00:07.849,0,,,0,0,364,105,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1261,215,,clara tour
gen-1766170806-fQCMktnsnb9vcdPhjS9Q,2025-12-19 19:00:06.488,0,,,0,0,240,28,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,516,317,,clara tour
gen-1766170804-ZE9BtR33ebdaVHUBHIMQ,2025-12-19 19:00:04.503,0,,,0,0,387,52,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,750,424,,clara tour
gen-1766170281-y4u3QJ4L1Bzb16L8NyxL,2025-12-19 18:51:21.695,0,,,0,0,358,102,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1081,217,,clara tour
gen-1766170280-CZC2GF9eSRergTsHS0yD,2025-12-19 18:51:20.124,0,,,0,0,234,28,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,524,425,,clara tour
gen-1766170278-qAUvwTmne0Te8IeBlv9G,2025-12-19 18:51:18.443,0,,,0,0,387,45,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,758,366,,clara tour
gen-1766169979-0TLNe6t2AlippAhx9w6E,2025-12-19 18:46:19.319,0,,,0,0,399,346,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,4860,399,,clara tour
gen-1766017388-1wpo5D0Q3CuqfQm9EhsM,2025-12-18 00:23:08.855,0,,,0,0,386,324,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,4640,350,,lois
gen-1766016468-2BSIsrkG7jn2dMYTNsbp,2025-12-18 00:07:48.037,0.000122,,,0,0,379,538,0,google/gemma-3-27b-it,Novita,standard,false,true,,stop,stop,20437,2074,OpenRouter: Chatroom,
gen-1766015656-ZfHwqkVhwioxwyJx1792,2025-12-17 23:54:16.725,0,,,0,0,1205,211,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,2218,408,,lois
